id,word,plural,cmuarpaInputIds,cmuarpaPluralInputIds,cmuarpaVisemes,cmuarpaPluralVisemes
012eb798-13c4-41c8-bacc-c7209e9f0b3b,mover,movers,"[65, 88, 90, 44]","[65, 88, 90, 44, 93]","['F', 'Q', 'F', 'E']","['F', 'Q', 'F', 'E', 'S']"
0134c39a-0a07-49b4-a746-aa85d9651919,landslide,landslides,"[64, 17, 66, 37, 78, 64, 34, 37]","[64, 17, 66, 37, 78, 64, 34, 37, 93]","['S', 'A', 'S', 'S', 'S', 'S', 'A', 'S']","['S', 'A', 'S', 'S', 'S', 'S', 'A', 'S', 'S']"
013514ec-dc15-4588-935f-205a4ee2fdb3,preface,prefaces,"[76, 77, 41, 51, 20, 78]","[76, 77, 60, 51, 20, 78, 20, 93]","['F', 'Q', 'E', 'F', 'A', 'S']","['F', 'Q', 'E', 'F', 'A', 'S', 'A', 'S']"
0138186c-ccf4-4caa-aa58-97f490439df5,doctoral,doctorals,"[37, 13, 63, 80, 44, 20, 64]","[37, 13, 63, 80, 44, 20, 64, 93]","['S', 'O', 'S', 'S', 'E', 'A', 'S']","['S', 'O', 'S', 'S', 'E', 'A', 'S', 'S']"
01395c39-9834-408b-ba2e-e4dda475656f,mother,mothers,"[65, 21, 38, 44]","[65, 21, 38, 44, 93]","['F', 'A', 'S', 'E']","['F', 'A', 'S', 'E', 'S']"
013ed934-fc36-4b48-b6ca-3e5649bc5a13,clicked,clicked,"[63, 64, 56, 63, 80]","[63, 64, 56, 63, 80]","['S', 'S', 'E', 'S', 'S']","['S', 'S', 'E', 'S', 'S']"
014040c3-cf3b-4a33-9821-94e65fd51d9f,stovetop,stovetops,"[78, 80, 70, 90, 80, 14, 76]","[78, 80, 70, 90, 80, 14, 76, 78]","['S', 'S', 'O', 'F', 'S', 'O', 'F']","['S', 'S', 'O', 'F', 'S', 'O', 'F', 'S']"
014176c9-80c2-45b7-9d14-b5890bc9929d,beforehand,beforehands,"[35, 55, 51, 25, 77, 53, 18, 66, 37]","[35, 41, 51, 44, 20, 37, 14, 66, 93]","['S', 'E', 'F', 'O', 'Q', 'A', 'A', 'S', 'S']","['S', 'E', 'F', 'E', 'A', 'S', 'O', 'S', 'S']"
01434e05-0a7d-4e73-bfe2-a3ad99d58c45,pinpoint,pinpoints,"[76, 56, 66, 76, 75, 66, 80]","[76, 56, 66, 76, 75, 66, 80, 78]","['F', 'E', 'S', 'F', 'O', 'S', 'S']","['F', 'E', 'S', 'F', 'O', 'S', 'S', 'S']"
0144a689-cb9e-4695-b707-c0dd4e0c28e1,immunization,immunizations,"[57, 65, 92, 87, 66, 20, 93, 49, 79, 20, 66]","[57, 65, 92, 87, 66, 20, 93, 49, 79, 20, 66, 93]","['E', 'F', 'E', 'Q', 'S', 'A', 'S', 'A', 'S', 'A', 'S']","['E', 'F', 'E', 'Q', 'S', 'A', 'S', 'A', 'S', 'A', 'S', 'S']"
0146733a-a6f2-422a-8355-288a6c168b22,civil,civils,"[78, 56, 90, 20, 64]","[78, 56, 90, 20, 64, 93]","['S', 'E', 'F', 'A', 'S']","['S', 'E', 'F', 'A', 'S', 'S']"
014ade7c-b669-4875-ba07-6e5db3c87b4e,recharge,recharges,"[77, 59, 36, 13, 77, 62]","[77, 59, 63, 13, 77, 62, 55, 93]","['Q', 'E', 'S', 'O', 'Q', 'S']","['Q', 'E', 'S', 'O', 'Q', 'S', 'E', 'S']"
0150fe31-0ec0-4524-9084-970714d8abb5,domain,domains,"[37, 69, 65, 49, 66]","[37, 69, 65, 49, 66, 93]","['S', 'O', 'F', 'A', 'S']","['S', 'O', 'F', 'A', 'S', 'S']"
015434b5-f05b-4fc4-8fd2-b9b33eeaf2cf,admit,admits,"[20, 37, 65, 56, 80]","[20, 37, 65, 56, 80, 78]","['A', 'S', 'F', 'E', 'S']","['A', 'S', 'F', 'E', 'S', 'S']"
0154f63a-152c-4ae6-8417-4b792eb40731,aptly,aptlies,"[17, 76, 80, 64, 59]","[17, 76, 80, 64, 59, 93]","['A', 'F', 'S', 'S', 'E']","['A', 'F', 'S', 'S', 'E', 'S']"
0156ad17-d267-404d-b4a5-e19cf0969cd9,historian,historians,"[53, 55, 78, 80, 25, 77, 59, 20, 66]","[53, 55, 78, 80, 25, 77, 59, 20, 66, 93]","['A', 'E', 'S', 'S', 'O', 'Q', 'E', 'A', 'S']","['A', 'E', 'S', 'S', 'O', 'Q', 'E', 'A', 'S', 'S']"
015dd8ee-468d-4be1-bce2-d0dc28b30234,default,defaults,"[37, 55, 51, 25, 64, 80]","[37, 55, 51, 25, 64, 80, 78]","['S', 'E', 'F', 'O', 'S', 'S']","['S', 'E', 'F', 'O', 'S', 'S', 'S']"
0162387c-73ba-4782-88ad-3f037cc52474,elk,elks,"[41, 64, 63]","[41, 64, 63, 78]","['E', 'S', 'S']","['E', 'S', 'S', 'S']"
01630b43-c29d-4616-8c04-61e91f169871,possibly,possiblies,"[76, 13, 78, 20, 35, 64, 59]","[76, 13, 78, 20, 35, 64, 59, 93]","['F', 'O', 'S', 'A', 'S', 'S', 'E']","['F', 'O', 'S', 'A', 'S', 'S', 'E', 'S']"
016aa0ed-5059-4f97-95fe-02c1ed6e1cc2,coincide,coincides,"[63, 71, 55, 66, 78, 33, 37]","[63, 71, 55, 66, 78, 33, 37, 93]","['S', 'O', 'E', 'S', 'S', 'A', 'S']","['S', 'O', 'E', 'S', 'S', 'A', 'S', 'S']"
016b27f0-7e79-4182-a470-14fe2a38aca8,compulsory,compulsories,"[63, 20, 65, 76, 21, 64, 78, 44, 59]","[63, 20, 65, 76, 21, 64, 78, 44, 20, 76, 59, 93]","['S', 'A', 'F', 'F', 'A', 'S', 'S', 'E', 'E']","['S', 'A', 'F', 'F', 'A', 'S', 'S', 'E', 'A', 'F', 'E', 'S']"
