id,word,plural,syllable,syllablePlural,ukipa,usipa,ukipaPlural,usipaPlural,inUse,pluralInUse
021bebc6-ecd8-4ddf-b0cf-bada794326e0,frog,frogs,frog,frogs,fɹɑːɡ,fɹɑːɡ,fɹɒɡz,fɹɑɡz,TRUE,TRUE
0220d4c0-746b-4bf5-a5df-8b137034d053,ripe,ripes,ripe,ripes,ɹaɪp,ɹaɪp,ɹaɪps,ɹaɪps,TRUE,FALSE
022787c7-e9ee-47bb-922b-48bfb44862bf,firsthand,firsthands,first.hand,first.hands,fɝːst.hænd,fɝːst.hænd,,,FALSE,FALSE
0234a57e-ecc4-4d52-bdab-f8bb7aa1615d,lesion,lesions,le.sion,le.sions,,,,,FALSE,FALSE
0236ccc9-4431-444d-a24f-6c576c64cc90,guest,guests,guest,guests,ɡɛst,ɡɛst,ɡɛsts,ɡɛsts,FALSE,TRUE
0236f768-c3e8-41a1-9385-6a19ec88c984,sediment,sediments,sed.i.ment,sed.i.ments,sɛd.ə.mənt,sɛd.ə.mənt,,,FALSE,FALSE
023acc6f-bc26-4f8e-b1c5-0ed358f6e017,ethnicity,ethnicities,eth.nic.i.ty,eth.nic.i.ties,ɛθ.nɪs.ə.ti,ɛθ.nɪs.ə.ti,,,FALSE,FALSE
023c1647-27d2-49f1-962a-40e13207789c,mug,mugs,mug,mugs,mʌɡ,mʌɡ,mʌɡz,mʌɡz,TRUE,FALSE
02410248-ba70-4bc8-9b7c-1fd852706083,threaten,threatens,threat.en,threat.ens,θɹɛt.ən,θɹɛt.ən,,,TRUE,FALSE
0247b88d-2e3d-4c49-9536-881dcf438170,adolescence,adolescences,ad.o.les.cence,adolescences,æd.ə.lɛs.əns,æd.ə.lɛs.əns,ˌædəʊˈlɛsnsɪz,ˌædəˈlɛsənsɪz,FALSE,FALSE
024d3a41-daf7-465c-9ab3-ef5e573ea74d,cheerful,cheerfuls,cheer.ful,cheer.fuls,tʃɪɹ.fəl,tʃɪɹ.fəl,,,TRUE,FALSE
02534791-c9ce-428c-b2c5-a95af8ac37ee,documentation,documentations,doc.u.men.ta.tion,doc.u.men.ta.tions,dɑː.kjə.mɛn.tɛɪ.ʃən,dɑː.kjə.mɛn.tɛɪ.ʃən,,,FALSE,FALSE
0253c77e-5d33-46f3-834a-7bbe14c64678,incidentally,incidentallies,in.ci.den.tal.ly,,ɪn.sɪ.dɛn.təl.i,ɪn.sɪ.dɛn.təl.i,,,FALSE,FALSE
0258c23e-a953-42ca-9263-cffc57572e75,individually,individuallies,in.di.vid.u.al.ly,individuallies,ɪn.də.vɪdʒ.u.ə.li,ɪn.də.vɪdʒ.u.ə.li,ˌɪndɪˈvɪdjʊəliz,ˌɪndɪˈvɪdʒuəliz,FALSE,FALSE
025ed378-4c4c-4e1a-80e9-2e92f31570ef,cone,cones,cone,cones,kəʊʊn,kəʊʊn,kəʊnz,kəʊʊnz,TRUE,FALSE
02723ee6-e988-40bf-bcc2-07a0ef1b193d,co-owner,co-owners,,,,,,,FALSE,FALSE
0274ce46-e297-4e29-b396-28e5e25ba22b,bandage,bandages,band.age,band.ages,bæn.dɪdʒ,bæn.dɪdʒ,,,FALSE,FALSE
02757fa5-f935-4f21-be6d-1dd4bd967ce1,recite,recites,re.cite,re.cites,ɹɪ.saɪt,ɹɪ.saɪt,,,FALSE,FALSE
